hospital,frequency,month,procedure,satis,proc
3,High,4,New,4.6229253,1
3,Medium,4,New,4.4658599,1
3,Medium,2,Old,3.8476338,0
3,Very high,1,Old,2.050622,0
3,Medium,3,Old,2.5012109,0
3,Low,6,New,4.6231475,1
3,Very high,3,Old,3.4348075,0
3,High,4,New,4.6018023,1
3,High,1,Old,3.3619552,0
3,Low,4,New,4.6654248,1
3,Low,3,Old,3.9665184,0
3,Medium,1,Old,4.7199841,0
3,Low,2,Old,3.9535429,0
3,Low,7,New,3.8907292,1
3,Very high,7,New,3.8129766,1
3,High,2,Old,4.2369142,0
3,Very high,2,Old,4.4312053,0
3,Medium,5,New,4.7756991,1
3,Very high,2,Old,1.7797186,0
3,High,6,New,4.5303497,1
3,Medium,6,New,3.4686935,1
3,Low,7,New,3.4706573,1
3,High,2,Old,3.8554986,0
3,Medium,3,Old,3.6278772,0
3,Low,1,Old,4.2218647,0
3,Low,7,New,5.3795133,1
3,Medium,4,New,3.3885708,1
3,Medium,2,Old,2.5066872,0
3,Medium,2,Old,3.4360061,0
3,Medium,4,New,4.5807848,1
3,Low,4,New,4.4280057,1
3,Medium,6,New,3.4180174,1
3,Medium,3,Old,4.2185688,0
3,Low,4,New,5.8268437,1
3,Low,4,New,4.7261739,1
3,Low,1,Old,4.6696248,0
3,Very high,1,Old,4.2630992,0
3,Very high,6,New,3.9312336,1
3,Low,5,New,4.561358,1
3,Low,5,New,4.6243172,1
3,Medium,6,New,4.172543,1
3,Medium,1,Old,2.6350651,0
3,Very high,1,Old,2.2035935,0
3,Low,1,Old,3.3315768,0
3,Medium,1,Old,3.8038824,0
3,Low,2,Old,3.8306339,0
3,Low,1,Old,4.6635752,0
3,Low,1,Old,4.0839267,0
3,Medium,3,Old,3.6543176,0
3,Low,1,Old,4.4420948,0
3,Very high,5,New,4.5011649,1
3,Low,1,Old,4.4462805,0
3,Low,7,New,5.5288801,1
3,High,5,New,5.187737,1
3,Very high,1,Old,4.8289595,0
3,Low,1,Old,3.8475266,0
3,Very high,6,New,4.8627262,1
3,Low,3,Old,3.919291,0
3,Low,1,Old,2.842561,0
3,Medium,1,Old,3.3162501,0
3,Low,5,New,3.7473953,1
3,Low,1,Old,5.0716562,0
3,Low,6,New,4.8231435,1
3,Medium,1,Old,2.5978713,0
3,High,5,New,4.9814415,1
3,Low,3,Old,4.2550278,0
3,Low,7,New,4.5700798,1
3,Very high,4,New,4.2560453,1
3,High,1,Old,3.6534636,0
3,Medium,5,New,3.9701164,1
3,Very high,7,New,6.1151004,1
3,Low,1,Old,3.6933661,0
3,Very high,7,New,4.5667748,1
3,Low,1,Old,3.8918476,0
3,Low,3,Old,3.9323564,0
3,Very high,1,Old,3.8166926,0
3,Medium,7,New,3.1356015,1
3,High,1,Old,4.0145841,0
3,High,1,Old,3.653147,0
3,Medium,5,New,4.7810235,1
3,Low,1,Old,2.9753139,0
3,Low,6,New,4.6477542,1
3,Low,6,New,5.0161557,1
3,Medium,7,New,4.2021852,1
3,High,3,Old,3.3079267,0
3,Very high,1,Old,3.3974206,0
3,Medium,4,New,3.6635811,1
3,Low,1,Old,4.0653977,0
3,Very high,5,New,4.9122348,1
3,Medium,3,Old,5.2144241,0
3,Low,7,New,4.8947992,1
3,Medium,5,New,3.6272445,1
3,Very high,3,Old,4.0377727,0
3,Medium,1,Old,3.577883,0
3,Low,6,New,4.9821892,1
3,Very high,7,New,5.6834965,1
3,Low,5,New,4.3589902,1
3,Low,7,New,5.4614167,1
3,Very high,2,Old,3.4752488,0
3,High,1,Old,4.263875,0
3,High,5,New,5.8143382,1
3,Medium,7,New,3.044699,1
3,Low,6,New,4.1044111,1
3,Low,4,New,3.9916618,1
3,High,4,New,4.9234924,1
3,Medium,5,New,4.5516472,1
3,High,6,New,4.0416131,1
3,Medium,7,New,3.7083485,1
3,Low,5,New,5.2902675,1
3,Very high,2,Old,4.9393358,0
3,Low,3,Old,4.7667193,0
3,High,7,New,5.4876342,1
3,High,2,Old,3.4484074,0
3,Low,4,New,4.9969654,1
4,Low,5,New,4.2453909,1
4,Medium,5,New,4.402257,1
4,Medium,1,Old,4.4770632,0
4,Low,5,New,4.5634499,1
4,Very high,1,Old,3.0455668,0
4,Low,1,Old,3.7545817,0
4,Very high,6,New,4.2920947,1
4,High,6,New,5.5105457,1
4,Low,5,New,2.8187251,1
4,Very high,1,Old,2.4400337,0
4,Very high,7,New,3.5886443,1
4,Medium,7,New,4.5182872,1
4,Low,7,New,3.9937544,1
4,Low,6,New,4.2057276,1
4,Very high,5,New,4.9302473,1
4,Very high,1,Old,3.5824645,0
4,Low,5,New,4.2378788,1
4,Low,1,Old,3.5335653,0
4,Very high,6,New,5.6140542,1
4,High,5,New,5.5108633,1
4,Medium,1,Old,3.5362675,0
4,Low,5,New,4.7645612,1
4,Medium,1,Old,2.3251691,0
4,Medium,1,Old,3.7330999,0
4,Medium,5,New,4.0820832,1
4,Low,1,Old,2.7709861,0
4,Low,7,New,3.6957457,1
4,Low,1,Old,3.871685,0
4,High,4,New,4.2857804,1
4,Low,2,Old,3.4995706,0
4,Low,1,Old,3.6149125,0
4,Medium,3,Old,2.7400477,0
4,Low,2,Old,3.7359283,0
4,Medium,2,Old,4.7034068,0
4,Very high,7,New,4.6594028,1
4,Low,4,New,4.6754289,1
4,Medium,3,Old,3.122014,0
4,Low,4,New,4.5779095,1
4,Medium,7,New,3.0860126,1
4,Medium,2,Old,3.8275073,0
4,Very high,4,New,4.4954052,1
4,Low,1,Old,4.5934343,0
4,Medium,1,Old,4.8318534,0
4,Low,7,New,3.5103147,1
4,Medium,7,New,4.7550864,1
4,High,4,New,3.9358029,1
4,High,1,Old,3.1166871,0
4,Low,2,Old,3.3149698,0
4,Medium,4,New,3.2875195,1
4,High,3,Old,3.3218486,0
4,Low,4,New,4.5657706,1
4,Medium,2,Old,3.1633744,0
4,Low,3,Old,4.2870073,0
4,Medium,6,New,4.1662321,1
4,Low,4,New,4.1781321,1
4,Low,7,New,3.4447882,1
4,Low,4,New,3.7303205,1
4,Medium,4,New,4.1833448,1
4,Low,5,New,3.3298812,1
4,Very high,2,Old,3.1588295,0
4,Low,1,Old,3.6768909,0
4,Low,3,Old,3.9436769,0
4,Medium,6,New,3.8661072,1
4,Low,2,Old,2.8830037,0
4,Low,2,Old,2.6603589,0
4,Very high,1,Old,4.0350156,0
4,Medium,4,New,3.2938836,1
4,Low,4,New,4.2983603,1
4,Low,6,New,3.7678089,1
4,High,2,Old,3.8290906,0
4,Low,3,Old,4.4090805,0
4,High,4,New,4.9230547,1
4,Low,2,Old,2.6222055,0
4,Low,4,New,2.7767298,1
4,Medium,2,Old,3.2421587,0
4,Very high,4,New,4.741219,1
4,Low,6,New,3.8275917,1
4,Medium,1,Old,4.7093573,0
4,High,5,New,3.4826186,1
4,Low,6,New,4.4208622,1
4,Low,3,Old,2.678098,0
4,Low,1,Old,2.4323034,0
4,High,1,Old,3.5953648,0
4,Low,6,New,4.9562712,1
4,Medium,5,New,4.5053802,1
4,High,5,New,4.866487,1
4,Low,5,New,4.3029833,1
4,Medium,1,Old,3.585079,0
4,Low,5,New,3.4561989,1
4,Low,1,Old,3.0922928,0
4,Very high,3,Old,3.3506207,0
4,Medium,6,New,4.1126304,1
4,Low,1,Old,4.7279234,0
4,Low,1,Old,1.8414795,0
4,Low,3,Old,4.0121355,0
4,Low,1,Old,4.3242793,0
4,Low,1,Old,2.7420015,0
4,High,1,Old,3.1744804,0
4,Very high,5,New,4.209527,1
4,Low,1,Old,2.0278268,0
4,Medium,1,Old,4.2687283,0
4,Low,1,Old,4.2613306,0
4,Low,5,New,3.3996122,1
4,Low,7,New,3.2437644,1
4,Medium,5,New,3.0492458,1
4,Low,1,Old,5.037797,0
4,Medium,1,Old,4.3240414,0
4,Very high,5,New,5.0887699,1
4,Low,1,Old,3.5947626,0
4,Medium,3,Old,3.946501,0
4,Low,6,New,4.4150057,1
4,Very high,5,New,4.0804057,1
4,Medium,1,Old,3.9539325,0
4,Medium,1,Old,3.3658879,0
4,Low,6,New,3.9705555,1
4,High,7,New,4.8392134,1
4,Low,1,Old,2.9681978,0
4,Low,1,Old,2.8706744,0
4,Very high,7,New,4.3365693,1
4,Low,5,New,4.2169299,1
4,Very high,7,New,5.229394,1
4,Very high,3,Old,3.5771933,0
4,Very high,1,Old,3.1537757,0
4,Medium,6,New,3.2358615,1
4,Low,3,Old,3.8314342,0
4,Medium,3,Old,4.1132545,0
4,Low,7,New,3.9543495,1
4,Medium,7,New,4.2401161,1
4,Low,7,New,5.152472,1
4,Medium,5,New,4.6062818,1
4,Medium,5,New,3.6181445,1
4,High,7,New,4.5177493,1
4,High,1,Old,3.1481979,0
4,Low,7,New,4.6121545,1
4,Medium,7,New,3.5976567,1
4,Very high,6,New,4.3954754,1
4,Low,6,New,3.6700323,1
4,Low,6,New,4.1810408,1
4,Very high,1,Old,3.5892467,0
4,Low,6,New,3.5580797,1
4,Medium,6,New,4.4963684,1
4,Medium,7,New,3.6406522,1
4,Low,1,Old,3.3929994,0
4,Low,1,Old,3.8864419,0
4,Low,7,New,3.4779007,1
4,Low,3,Old,3.2914836,0
4,Low,4,New,2.4759645,1
4,Very high,2,Old,4.211937,0
4,High,3,Old,3.4277742,0
4,Very high,1,Old,3.2233925,0
4,Low,7,New,3.2522731,1
4,Very high,6,New,4.5214911,1
4,Very high,1,Old,3.6304348,0
4,Low,3,Old,2.5149236,0
4,Low,4,New,4.3632798,1
4,High,6,New,4.2220435,1
4,Low,5,New,2.9742773,1
4,Low,3,Old,3.7175274,0
4,Low,1,Old,4.5932312,0
4,Low,2,Old,3.1151109,0
4,Very high,2,Old,2.4975791,0
4,Very high,3,Old,2.2513921,0
4,Low,6,New,3.9457736,1
4,Medium,1,Old,2.8925912,0
4,Medium,3,Old,3.059258,0
4,High,7,New,4.1006384,1
4,Medium,4,New,3.6894586,1
4,Low,3,Old,3.4766045,0
4,Low,1,Old,4.0733671,0
4,Low,4,New,2.7097747,1
4,Low,3,Old,4.3532181,0
4,High,1,Old,3.7121422,0
4,Very high,3,Old,3.0244591,0
4,Low,6,New,3.0488858,1
4,Low,2,Old,3.1017749,0
4,Low,2,Old,4.3168397,0
4,Medium,4,New,4.1354036,1
4,Medium,6,New,3.7085385,1
4,Medium,3,Old,5.2612815,0
4,Very high,4,New,4.5399675,1
4,High,2,Old,3.2871954,0
4,Low,2,Old,4.1869869,0
4,Low,1,Old,2.6877797,0
4,Low,2,Old,3.5461943,0
4,Medium,2,Old,4.0631118,0
4,High,6,New,3.110534,1
4,Low,3,Old,2.9420569,0
4,Very high,4,New,5.402432,1
4,Low,4,New,3.7358668,1
4,High,3,Old,3.1484241,0
4,High,1,Old,4.1641808,0
4,Very high,2,Old,4.5046859,0
4,Low,2,Old,3.8932288,0
4,Medium,4,New,4.2069325,1
4,Low,4,New,4.0508876,1
4,Medium,2,Old,3.3397217,0
4,Low,7,New,4.5734978,1
4,Low,7,New,4.5635319,1
4,High,2,Old,3.3408699,0
4,Low,5,New,4.6120501,1
5,Very high,1,Old,1.1538051,0
5,Very high,7,New,4.5444098,1
5,Very high,5,New,3.5019646,1
5,Very high,5,New,4.289248,1
5,Very high,5,New,4.6156831,1
5,Very high,5,New,3.5288153,1
5,Very high,1,Old,3.3712435,0
5,Medium,5,New,3.6592734,1
5,High,1,Old,3.2599986,0
5,Very high,1,Old,3.2564757,0
5,High,5,New,3.3498104,1
5,Low,1,Old,1.9643518,0
5,Medium,5,New,3.9211416,1
5,High,5,New,4.0805917,1
5,High,5,New,3.2210517,1
5,Very high,5,New,4.3510871,1
5,Very high,5,New,4.5548258,1
5,Medium,5,New,3.4601486,1
5,Medium,7,New,3.924943,1
5,Very high,1,Old,2.5459433,0
5,Low,1,Old,2.5936308,0
5,High,7,New,4.2118635,1
5,Medium,1,Old,3.4702599,0
5,Very high,1,Old,2.7397354,0
5,High,5,New,3.0180254,1
5,Low,5,New,3.0504277,1
5,Medium,5,New,2.9460557,1
5,Very high,1,Old,4.1339397,0
5,Medium,5,New,2.803262,1
5,Medium,1,Old,3.5649221,0
5,Very high,5,New,4.318068,1
5,Medium,1,Old,2.3258545,0
5,Low,1,Old,3.0471153,0
5,High,1,Old,1.8268244,0
5,Very high,5,New,4.2719984,1
5,Medium,5,New,3.4302614,1
5,Very high,7,New,4.261425,1
5,Low,5,New,4.1373758,1
5,Medium,7,New,2.3456316,1
5,Very high,5,New,4.0801277,1
5,Medium,1,Old,2.4448955,0
5,Very high,1,Old,1.9846686,0
5,Very high,1,Old,3.083138,0
5,High,1,Old,2.1849959,0
5,High,1,Old,2.9049945,0
5,Medium,1,Old,2.6385353,0
5,Low,5,New,3.2247186,1
5,High,1,Old,2.4535847,0
5,Very high,5,New,3.9477253,1
5,Medium,1,Old,2.5336118,0
5,High,5,New,4.4116297,1
5,Very high,1,Old,2.9547939,0
5,Very high,5,New,4.7894392,1
5,High,7,New,4.2591996,1
5,Very high,1,Old,3.8604407,0
5,Very high,1,Old,2.5423782,0
5,Very high,1,Old,2.7231655,0
5,High,7,New,3.6417339,1
5,Very high,4,New,2.8301656,1
5,Very high,4,New,4.0635018,1
5,Very high,4,New,3.635185,1
5,Very high,4,New,4.7912207,1
5,Very high,7,New,4.5425787,1
5,Medium,4,New,4.7321386,1
5,Very high,2,Old,3.4803879,0
5,High,4,New,4.2327795,1
5,High,2,Old,3.0719182,0
5,Very high,2,Old,2.2776296,0
5,Medium,4,New,3.2162979,1
5,Low,2,Old,2.6601298,0
5,High,4,New,3.7334051,1
5,High,4,New,3.8098116,1
5,Very high,7,New,4.0046902,1
5,Very high,4,New,3.9958432,1
5,Very high,4,New,3.8076422,1
5,Medium,4,New,4.070055,1
5,Very high,2,Old,2.7936389,0
5,Low,7,New,2.7671514,1
5,High,4,New,3.6209798,1
5,Low,4,New,3.3901372,1
5,Medium,4,New,4.1313329,1
